"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","h-full href","w-full src 2","styles_skeletonLoading__7svpE 2","w-full src 3"
"https://mahally.com/products/1891860617/1160171668/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=258&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/e198928d-2975-4986-8768-d683714f41f8-500x500-0kHb7AdlP2s9Q2eT7XOheILUt01Y1NsovgGppRgg.jpg","عطر جيرلان توباك صحاري اودي برفيو 125مل","908",".5","","","",""
"https://mahally.com/products/1891860617/461829989/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=259&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/0ba989f8-cb27-4f97-a439-7932a95138ed-500x500-5HA0adXtZxO7ZTYpQrAdEqGJ9a4PdCWGymapG8Bs.webp","عطر ايسي مياكي ليو دا ايسي بور هوم نوار عنبر او دو بارفيوم 100مل","333",".5","","","",""
"https://mahally.com/products/1891860617/323890220/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=260&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/c999fd52-e9fc-4f69-a7a5-844e0d896e83-500x500-OXe6uJRpvHBdYofLqaKe1VaEwdrG6Xmf8QpuKCcM.jpg","سنتولوجيا لاكتونيكعطور للجنسين (100ml)","1023",".5","","","",""
"https://mahally.com/products/1891860617/1796653808/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=261&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/418c6319-2479-4299-80b2-b9a6ed867d13-500x500-MYzVjhD9LoVVm1AEzVpGyfmgX3bLidXklQrXTAad.jpg","عطر توم فورد عنبر ليذر او دو بارفيوم 150مل","897","","","","",""
"https://mahally.com/products/1891860617/1706553116/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=262&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/d14577e0-8168-41f2-ac7c-c5e147a26c78-375.39432176656x500-aQXV2bbYatEMUbjK9SzjDJLnHIHvu15bNIiKCqyv.webp","تستر كلوي أتيليه دي فلور جاسمينوم سامباك أو دو بارفان 150مل","632",".5","","","",""
"https://mahally.com/products/1891860617/2108545272/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=263&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/10d43390-8e31-491f-ba6f-1a3b71bd71d4-500x500-NNQHJFIZr8qhSAoOXgWXEgwgfguGAvbzOqzT74zr.jpg","تستر سنتولوجيا وود.واي².لانغ.عطور للجنسين (100ml)","517",".5","","","",""
"https://mahally.com/products/1891860617/1525855595/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=264&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/e2212102-aae9-49b7-a9cc-3faac11629eb-500x500-D2vIHUOhvw1eMxfxKlZYafWlcpsyoNulpPAX03qB.jpg","تستر سنتولوجيا لاكتونيك عطور للجنسين (100ml)","517",".5","","","",""
"https://mahally.com/products/1891860617/34873622/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=265&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/c9ab0b16-750c-4883-a338-06a8ab8251ef-500x500-QrsLCpXpLCaAb9CqOTzXGbNWgzDkxHWFC4lELtuS.webp","تستر عطر دولشي اند جابانا ذا ون توباكو أو دو بارفيوم 100مل","343",".85","","","",""
"https://mahally.com/products/1891860617/1307011259/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=266&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/2f33e719-a2e8-4492-89f1-65d6d1f6e26f-500x500-yoWywWACR7p4d2OvmnyVCrp95Bj5pLBGRQEYuvYc.jpg","عطر انغارو ديفا روج او دو بارفيوم 100مل","172",".5","","","",""
"https://mahally.com/products/1891860617/410737856/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=267&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/3d37465f-8079-4110-83fa-4d17dbea494c-468.5x500-eicd0wmuHJmhFvUH0iXVlRyRbXoXnfdqALA0YisC.jpg","عطر بولغاري لو جيمي تايجار اكس ريفيك انادول للرجال او دي بارفان 125 مل","2012",".5","","","",""
